reviews,a1,a2,a3,engagement,gender,grade
0,0,113.7333333,132.6444444,H,0,1
4,0,221.35,241.9555556,M,0,0
2,0,60.91666667,62.2,H,1,0
0,0,75.58333333,90.77777778,H,0,0
2,0,43.78333333,59.20555556,H,1,2
4,0,125.4,139.85,H,0,2
1,0,260.0833333,251.8166667,M,0,2
3,0,64.56666667,76.38888889,H,0,2
4,0,120.9,133.3111111,H,1,1
5,0,120.75,139.8111111,H,0,0
9,0,206.6333333,187.55,H,1,2
7,0,243.5333333,249.2333333,M,0,0
3,0,114.5,156.4722222,M,1,1
1,0,259.35,262.6222222,M,1,0
2,0,248.2,263.3055556,M,1,0
0,0,75.38333333,87.78333333,H,0,0
1,0,69.05,89.97777778,H,0,2
4,0,112.65,125.8055556,H,0,2
1,0,67.86666667,82.54444444,H,1,2
1,0,156.2833333,206.1555556,M,0,2
4,0,211.0833333,231.4111111,M,0,1
1,0,236.8666667,248.9777778,M,1,1
5,0,77.06666667,83.70555556,H,0,1
2,0,258.95,263.8555556,M,0,2
1,0,72.78333333,86.52777778,H,1,0
4,0,245.9833333,254.4,M,1,0
0,0,257.6,270.7722222,M,0,1
2,0,253.4333333,268.8666667,M,1,0
2,0,225.25,242.5555556,M,0,0
2,0,56.73333333,69.64444444,H,1,0
0,0,52.9,69.32777778,H,0,2
0,0,235.0666667,251.2611111,M,0,2
8,0,79.76666667,84.96666667,H,0,0
2,1,632.0,461.6333333,L,0,1
0,0,113.0833333,129.9833333,H,0,2
6,0,223.9333333,243.6444444,M,0,1
2,0,348.7166667,301.8222222,M,1,2
1,0,115.2166667,124.6777778,H,1,0
0,0,114.85,125.5388889,H,1,0
6,0,235.4166667,246.4722222,M,0,0
1,0,134.4,141.3777778,H,1,1
3,0,243.0666667,255.8666667,M,0,1
8,0,271.2333333,282.6777778,M,0,1
3,0,221.9833333,243.3,M,1,1
0,0,104.7833333,113.6666667,H,1,0
0,0,243.05,259.4944444,M,1,2
2,0,219.6666667,239.3,M,0,2
7,0,74.75,83.6,H,1,1
3,0,225.85,158.4055556,H,0,0
3,0,212.1333333,236.8,M,1,2
0,0,197.6333333,216.8388889,M,0,2
2,0,223.85,242.7111111,M,0,0
1,0,79.13333333,93.72222222,H,0,1
1,0,87.73333333,104.0444444,H,0,2
1,0,122.4833333,129.8777778,H,0,0
